                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.202,                 3.5539,                 2.9464,                 1.6076,                0.22058,                0.28502,                0.13351,                0.04981,                0.11545,                0.15322,                0.04076,                0.01135,                 2.2964,                 5.0016,                 11.141,                 1.8061,                0.00028,                0.00028,                0.00028
                      2,                  1.759,                  2.893,                 1.8242,                 1.3438,                0.15313,                 0.2029,                0.09173,                0.03843,                0.15928,                0.21784,                0.09389,                0.03821,                 2.3127,                 3.4958,                 6.6129,                 1.7709,             0.00056852,             0.00056852,             0.00056852
                      3,                 1.7125,                  2.915,                 1.6354,                 1.3692,                0.16641,                0.14493,                0.08423,                0.02344,                 0.3568,                0.10145,                0.10328,                0.03144,                 2.9338,                 3.7344,                 3.6723,                 2.1756,             0.00084515,             0.00084515,             0.00084515
                      4,                 1.8677,                 2.8965,                 1.7598,                 1.4587,                0.12645,                0.25121,                0.09692,                0.03222,                0.10487,                0.18357,                0.05869,                0.01457,                 2.4722,                 4.5254,                 8.0979,                 2.0463,              0.0011099,              0.0011099,              0.0011099
                      5,                 1.8414,                 2.7862,                 1.7293,                 1.4072,                0.16667,                0.11594,                0.05411,                0.01491,                0.02951,                0.19324,                 0.0126,                0.00324,                 2.8183,                 22.552,                 32.052,                 3.4946,              0.0013628,              0.0013628,              0.0013628
                      6,                 1.8163,                 2.9029,                 1.6532,                 1.4241,                0.13741,                0.29469,                0.10035,                0.02954,                0.12925,                0.30435,                0.09266,                0.02144,                 2.4071,                 3.8472,                 9.4155,                 2.0375,              0.0016038,              0.0016038,              0.0016038
                      7,                  1.823,                 2.8354,                 1.6126,                  1.434,                  0.069,                0.25121,                0.05394,                0.01387,                0.06399,                0.28502,                0.04887,                 0.0118,                 2.8344,                 4.3594,                 6.1208,                 2.2885,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.8444,                 2.8478,                 1.6824,                 1.4842,                0.15324,                0.11111,                0.06159,                0.01471,                0.11642,                0.08213,                 0.0402,                0.00896,                 2.8527,                 5.3382,                 5.5002,                 2.1574,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.8209,                 2.8717,                 1.6177,                  1.468,                0.13247,                 0.0628,                0.03404,                0.01073,                0.16154,                0.07729,                0.03905,                0.01301,                  2.761,                 4.6004,                 6.2428,                 2.2667,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.7909,                 2.7273,                 1.5775,                 1.4022,                0.22993,                0.32367,                0.22142,                0.08958,                0.24326,                0.28019,                0.21477,                0.06201,                 2.2807,                  3.529,                 3.6152,                 1.7552,              0.0016436,              0.0016436,              0.0016436
